Date,Open,High,Low,Close,Change,%Change,Total Volume,Total Value
27/11/2018,448.00,450.00,440.00,440.00, -8.00, -1.79,"3,066,357","1,361,728.85"
26/11/2018,446.00,452.00,444.00,448.00, +4.00, +0.90,"4,217,448","1,891,651.62"
23/11/2018,440.00,446.00,440.00,444.00, +4.00, +0.91,"1,410,411","624,585.69"
22/11/2018,438.00,444.00,436.00,440.00, +2.00, +0.46,"1,922,765","847,250.44"
21/11/2018,436.00,440.00,432.00,438.00, +2.00, +0.46,"2,769,819","1,208,645.65"
20/11/2018,438.00,440.00,436.00,436.00, -4.00, -0.91,"1,326,370","580,694.35"
19/11/2018,434.00,442.00,434.00,440.00, +4.00, +0.92,"1,453,435","638,444.58"
16/11/2018,438.00,440.00,436.00,436.00, -2.00, -0.46,"978,626","428,042.67"
15/11/2018,442.00,442.00,436.00,438.00, -2.00, -0.45,"1,581,877","694,531.92"
14/11/2018,436.00,444.00,436.00,440.00, +4.00, +0.92,"3,425,214","1,508,184.53"
13/11/2018,424.00,436.00,422.00,436.00, +10.00, +2.35,"1,936,954","833,963.38"
12/11/2018,432.00,434.00,426.00,426.00, -6.00, -1.39,"624,122","267,535.51"
09/11/2018,430.00,434.00,428.00,432.00, 0.00, 0.00,"916,915","395,461.07"
08/11/2018,434.00,436.00,430.00,432.00, 0.00, 0.00,"1,478,341","639,635.98"
07/11/2018,428.00,432.00,424.00,432.00, +4.00, +0.93,"1,648,944","706,379.16"
06/11/2018,426.00,430.00,424.00,428.00, +6.00, +1.42,"1,352,696","577,717.55"
05/11/2018,422.00,424.00,420.00,422.00, -4.00, -0.94,"1,058,764","446,316.07"
02/11/2018,418.00,428.00,416.00,426.00, +10.00, +2.40,"2,751,111","1,164,339.11"
01/11/2018,416.00,418.00,412.00,416.00, -2.00, -0.48,"1,698,038","704,290.09"
31/10/2018,410.00,418.00,408.00,418.00, +8.00, +1.95,"2,556,515","1,058,587.75"
30/10/2018,406.00,416.00,406.00,410.00, +4.00, +0.99,"2,051,187","844,697.81"
29/10/2018,408.00,408.00,406.00,406.00, -2.00, -0.49,"2,357,409","959,803.17"
26/10/2018,416.00,418.00,408.00,408.00, -12.00, -2.86,"3,124,240","1,284,283.85"
25/10/2018,406.00,420.00,404.00,420.00, +12.00, +2.94,"5,227,584","2,140,564.19"
24/10/2018,410.00,416.00,406.00,408.00, -4.00, -0.97,"3,985,997","1,636,755.78"
22/10/2018,414.00,416.00,412.00,412.00, -2.00, -0.48,"1,500,985","620,780.49"
19/10/2018,416.00,418.00,414.00,414.00, -2.00, -0.48,"1,498,447","622,365.03"
18/10/2018,418.00,420.00,414.00,416.00, -4.00, -0.95,"1,726,825","719,741.33"
17/10/2018,422.00,424.00,418.00,420.00, +2.00, +0.48,"873,531","367,890.02"
16/10/2018,418.00,420.00,416.00,418.00, -2.00, -0.48,"1,760,690","736,242.61"
12/10/2018,424.00,424.00,420.00,420.00, -2.00, -0.47,"1,476,474","621,837.24"
11/10/2018,418.00,422.00,414.00,422.00, -4.00, -0.94,"4,014,770","1,680,791.82"
10/10/2018,424.00,428.00,424.00,426.00, +2.00, +0.47,"1,181,030","503,007.20"
09/10/2018,428.00,432.00,422.00,424.00, -4.00, -0.93,"2,913,164","1,241,889.57"
08/10/2018,432.00,434.00,426.00,428.00, -4.00, -0.93,"2,675,642","1,149,705.14"
05/10/2018,434.00,436.00,430.00,432.00, -4.00, -0.92,"2,159,087","934,434.49"
04/10/2018,438.00,440.00,434.00,436.00, -4.00, -0.91,"2,752,464","1,200,089.09"
03/10/2018,442.00,444.00,440.00,440.00, -2.00, -0.45,"2,527,161","1,114,492.05"
02/10/2018,446.00,448.00,442.00,442.00, -6.00, -1.34,"1,867,982","829,785.30"
01/10/2018,448.00,450.00,446.00,448.00, +2.00, +0.45,"888,258","397,845.43"
27/11/2018,448.00,450.00,440.00,440.00, -8.00, -1.79,"3,066,357","1,361,728.85"
26/11/2018,446.00,452.00,444.00,448.00, +4.00, +0.90,"4,217,448","1,891,651.62"
23/11/2018,440.00,446.00,440.00,444.00, +4.00, +0.91,"1,410,411","624,585.69"
22/11/2018,438.00,444.00,436.00,440.00, +2.00, +0.46,"1,922,765","847,250.44"
21/11/2018,436.00,440.00,432.00,438.00, +2.00, +0.46,"2,769,819","1,208,645.65"
20/11/2018,438.00,440.00,436.00,436.00, -4.00, -0.91,"1,326,370","580,694.35"
19/11/2018,434.00,442.00,434.00,440.00, +4.00, +0.92,"1,453,435","638,444.58"
16/11/2018,438.00,440.00,436.00,436.00, -2.00, -0.46,"978,626","428,042.67"
15/11/2018,442.00,442.00,436.00,438.00, -2.00, -0.45,"1,581,877","694,531.92"
14/11/2018,436.00,444.00,436.00,440.00, +4.00, +0.92,"3,425,214","1,508,184.53"
13/11/2018,424.00,436.00,422.00,436.00, +10.00, +2.35,"1,936,954","833,963.38"
12/11/2018,432.00,434.00,426.00,426.00, -6.00, -1.39,"624,122","267,535.51"
09/11/2018,430.00,434.00,428.00,432.00, 0.00, 0.00,"916,915","395,461.07"
08/11/2018,434.00,436.00,430.00,432.00, 0.00, 0.00,"1,478,341","639,635.98"
07/11/2018,428.00,432.00,424.00,432.00, +4.00, +0.93,"1,648,944","706,379.16"
06/11/2018,426.00,430.00,424.00,428.00, +6.00, +1.42,"1,352,696","577,717.55"
05/11/2018,422.00,424.00,420.00,422.00, -4.00, -0.94,"1,058,764","446,316.07"
02/11/2018,418.00,428.00,416.00,426.00, +10.00, +2.40,"2,751,111","1,164,339.11"
01/11/2018,416.00,418.00,412.00,416.00, -2.00, -0.48,"1,698,038","704,290.09"
31/10/2018,410.00,418.00,408.00,418.00, +8.00, +1.95,"2,556,515","1,058,587.75"
30/10/2018,406.00,416.00,406.00,410.00, +4.00, +0.99,"2,051,187","844,697.81"
29/10/2018,408.00,408.00,406.00,406.00, -2.00, -0.49,"2,357,409","959,803.17"
26/10/2018,416.00,418.00,408.00,408.00, -12.00, -2.86,"3,124,240","1,284,283.85"
25/10/2018,406.00,420.00,404.00,420.00, +12.00, +2.94,"5,227,584","2,140,564.19"
24/10/2018,410.00,416.00,406.00,408.00, -4.00, -0.97,"3,985,997","1,636,755.78"
22/10/2018,414.00,416.00,412.00,412.00, -2.00, -0.48,"1,500,985","620,780.49"
19/10/2018,416.00,418.00,414.00,414.00, -2.00, -0.48,"1,498,447","622,365.03"
18/10/2018,418.00,420.00,414.00,416.00, -4.00, -0.95,"1,726,825","719,741.33"
17/10/2018,422.00,424.00,418.00,420.00, +2.00, +0.48,"873,531","367,890.02"
16/10/2018,418.00,420.00,416.00,418.00, -2.00, -0.48,"1,760,690","736,242.61"
12/10/2018,424.00,424.00,420.00,420.00, -2.00, -0.47,"1,476,474","621,837.24"
11/10/2018,418.00,422.00,414.00,422.00, -4.00, -0.94,"4,014,770","1,680,791.82"
10/10/2018,424.00,428.00,424.00,426.00, +2.00, +0.47,"1,181,030","503,007.20"
09/10/2018,428.00,432.00,422.00,424.00, -4.00, -0.93,"2,913,164","1,241,889.57"
08/10/2018,432.00,434.00,426.00,428.00, -4.00, -0.93,"2,675,642","1,149,705.14"
05/10/2018,434.00,436.00,430.00,432.00, -4.00, -0.92,"2,159,087","934,434.49"
04/10/2018,438.00,440.00,434.00,436.00, -4.00, -0.91,"2,752,464","1,200,089.09"
03/10/2018,442.00,444.00,440.00,440.00, -2.00, -0.45,"2,527,161","1,114,492.05"
02/10/2018,446.00,448.00,442.00,442.00, -6.00, -1.34,"1,867,982","829,785.30"
01/10/2018,448.00,450.00,446.00,448.00, +2.00, +0.45,"888,258","397,845.43"
27/11/2018,448.00,450.00,440.00,440.00, -8.00, -1.79,"3,066,357","1,361,728.85"
26/11/2018,446.00,452.00,444.00,448.00, +4.00, +0.90,"4,217,448","1,891,651.62"
23/11/2018,440.00,446.00,440.00,444.00, +4.00, +0.91,"1,410,411","624,585.69"
22/11/2018,438.00,444.00,436.00,440.00, +2.00, +0.46,"1,922,765","847,250.44"
21/11/2018,436.00,440.00,432.00,438.00, +2.00, +0.46,"2,769,819","1,208,645.65"
20/11/2018,438.00,440.00,436.00,436.00, -4.00, -0.91,"1,326,370","580,694.35"
19/11/2018,434.00,442.00,434.00,440.00, +4.00, +0.92,"1,453,435","638,444.58"
16/11/2018,438.00,440.00,436.00,436.00, -2.00, -0.46,"978,626","428,042.67"
15/11/2018,442.00,442.00,436.00,438.00, -2.00, -0.45,"1,581,877","694,531.92"
14/11/2018,436.00,444.00,436.00,440.00, +4.00, +0.92,"3,425,214","1,508,184.53"
13/11/2018,424.00,436.00,422.00,436.00, +10.00, +2.35,"1,936,954","833,963.38"
12/11/2018,432.00,434.00,426.00,426.00, -6.00, -1.39,"624,122","267,535.51"
09/11/2018,430.00,434.00,428.00,432.00, 0.00, 0.00,"916,915","395,461.07"
08/11/2018,434.00,436.00,430.00,432.00, 0.00, 0.00,"1,478,341","639,635.98"
07/11/2018,428.00,432.00,424.00,432.00, +4.00, +0.93,"1,648,944","706,379.16"
06/11/2018,426.00,430.00,424.00,428.00, +6.00, +1.42,"1,352,696","577,717.55"
05/11/2018,422.00,424.00,420.00,422.00, -4.00, -0.94,"1,058,764","446,316.07"
02/11/2018,418.00,428.00,416.00,426.00, +10.00, +2.40,"2,751,111","1,164,339.11"
01/11/2018,416.00,418.00,412.00,416.00, -2.00, -0.48,"1,698,038","704,290.09"
31/10/2018,410.00,418.00,408.00,418.00, +8.00, +1.95,"2,556,515","1,058,587.75"
30/10/2018,406.00,416.00,406.00,410.00, +4.00, +0.99,"2,051,187","844,697.81"
29/10/2018,408.00,408.00,406.00,406.00, -2.00, -0.49,"2,357,409","959,803.17"
26/10/2018,416.00,418.00,408.00,408.00, -12.00, -2.86,"3,124,240","1,284,283.85"
25/10/2018,406.00,420.00,404.00,420.00, +12.00, +2.94,"5,227,584","2,140,564.19"
24/10/2018,410.00,416.00,406.00,408.00, -4.00, -0.97,"3,985,997","1,636,755.78"
22/10/2018,414.00,416.00,412.00,412.00, -2.00, -0.48,"1,500,985","620,780.49"
19/10/2018,416.00,418.00,414.00,414.00, -2.00, -0.48,"1,498,447","622,365.03"
18/10/2018,418.00,420.00,414.00,416.00, -4.00, -0.95,"1,726,825","719,741.33"
17/10/2018,422.00,424.00,418.00,420.00, +2.00, +0.48,"873,531","367,890.02"
16/10/2018,418.00,420.00,416.00,418.00, -2.00, -0.48,"1,760,690","736,242.61"
12/10/2018,424.00,424.00,420.00,420.00, -2.00, -0.47,"1,476,474","621,837.24"
11/10/2018,418.00,422.00,414.00,422.00, -4.00, -0.94,"4,014,770","1,680,791.82"
10/10/2018,424.00,428.00,424.00,426.00, +2.00, +0.47,"1,181,030","503,007.20"
09/10/2018,428.00,432.00,422.00,424.00, -4.00, -0.93,"2,913,164","1,241,889.57"
08/10/2018,432.00,434.00,426.00,428.00, -4.00, -0.93,"2,675,642","1,149,705.14"
05/10/2018,434.00,436.00,430.00,432.00, -4.00, -0.92,"2,159,087","934,434.49"
04/10/2018,438.00,440.00,434.00,436.00, -4.00, -0.91,"2,752,464","1,200,089.09"
03/10/2018,442.00,444.00,440.00,440.00, -2.00, -0.45,"2,527,161","1,114,492.05"
02/10/2018,446.00,448.00,442.00,442.00, -6.00, -1.34,"1,867,982","829,785.30"
01/10/2018,448.00,450.00,446.00,448.00, +2.00, +0.45,"888,258","397,845.43"
